2022-34-28	13:34:45	64f0ad91-9d20-4bff-a607-773d1c2cb51e	OPTIONS 	 https://www.google.com 	 /
2022-34-28	13:34:45	1c06b7e7-c56c-4d6d-bb04-52d3e0262beb	GET 	 https://www.google.com 	 /
2022-38-28	13:38:32	a7b51eca-31a2-4bd5-8e1e-cb94cd41c092	OPTIONS 	 https://www.google.com 	 /
2022-38-28	13:38:32	70aff9bd-ad04-414b-82df-75f75ff1e096	GET 	 https://www.google.com 	 /
2022-52-28	13:52:53	54eea8d5-9a3b-469b-ab52-c48660a3087b	OPTIONS 	 https://www.google.com 	 /
2022-52-28	13:52:53	bd9fcd36-d587-43bb-86bf-ffe78f053e2d	GET 	 https://www.google.com 	 /
2022-53-28	13:53:48	5b14e4f3-b182-45d1-b553-5df95caf84ee	OPTIONS 	 https://www.google.com 	 /
2022-53-28	13:53:48	018f7a02-5888-4c64-b6d9-bf4e6011d45e	GET 	 https://www.google.com 	 /
2022-54-28	13:54:39	2a6da60c-124b-4036-b756-23b990e0c25a	OPTIONS 	 https://www.google.com 	 /
2022-54-28	13:54:39	fd4b03ce-adbf-45a7-970c-4c55ac53f65d	GET 	 https://www.google.com 	 /
2022-56-28	13:56:01	77a32aa6-ce9b-43eb-adc5-d10447f516ec	OPTIONS 	 https://www.google.com 	 /
2022-56-28	13:56:01	229fb5d1-6f96-4fca-a741-d8022e34d9ae	GET 	 https://www.google.com 	 /
2022-03-28	14:03:25	5c920ad8-91b2-49b2-b43d-32e4bfb23bbd	GET 	 undefined 	 /
2022-04-28	14:04:46	74cf8abb-42d0-4734-961d-fdae4a8e3f2a	GET 	 undefined 	 /
2022-04-28	14:04:46	180c7ec4-9505-4f1e-80af-6a8de8586db0	GET 	 undefined 	 /css/style.css
2022-17-28	14:17:22	0f00da92-f2c4-455e-b087-8d9de0ae766a	GET 	 undefined 	 /
2022-17-28	14:17:22	579269ad-b4cf-475c-a219-34f7bafd1604	GET 	 undefined 	 /css/style.css
2022-19-28	14:19:13	3e8f4b11-364f-4c88-8e0f-01c62e088f81	GET 	 undefined 	 /
2022-19-28	14:19:19	aeccad22-2356-4a7d-b266-40b0207b17d1	GET 	 undefined 	 /
2022-22-28	14:22:49	e86d3cbb-8716-4e9a-9922-b6c0b40fe396	GET 	 undefined 	 /
2022-23-28	14:23:21	b6e7836f-bbe5-4e30-886b-db664dac0825	GET 	 undefined 	 /
2022-24-28	14:24:02	854aae9c-6855-403a-b006-e36ef2508571	GET 	 undefined 	 /
2022-25-28	14:25:27	f7147595-418e-4d94-818e-fc82c434b8a6	GET 	 undefined 	 /
2022-25-28	14:25:27	8272ff71-ee82-40c0-b4a6-eaeaab1f622c	GET 	 undefined 	 /css/style.css
2022-27-28	14:27:24	f5cc937d-3c0c-47a2-a3de-32979acdfb54	GET 	 undefined 	 /
2022-27-28	14:27:24	febdda33-bf55-40ea-8789-943231b6fd9a	GET 	 undefined 	 /css/style.css
